p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.14082714904497e-13	0.757951656077543	0.505	0.365	1.3887506092467e-08	CXCR3	Control
6.00223522226245e-13	0.582666960512463	0.6	0.447	2.01302964884238e-08	PTPN6	Control
7.40726567132789e-13	0.282175753576526	0.995	0.986	2.48424876084995e-08	CALM1	Control
7.62404853251643e-13	-0.724102731706301	0.278	0.43	2.55695339683536e-08	RNPEPL1	Control
8.33704889173854e-13	0.357605944872739	0.879	0.799	2.79607945731127e-08	GIMAP7	Control
1.26717288353654e-12	0.387137099118456	0.868	0.803	4.24984441680486e-08	EIF4B	Control
1.5356940528174e-12	0.680919113496775	0.532	0.389	5.15041071433898e-08	SPN	Control
2.03578409659379e-12	0.408826952974196	0.819	0.735	6.82761270315624e-08	PDCD4	Control
2.38086674760612e-12	0.908347766135473	0.414	0.273	7.98495089812142e-08	EGR1	Control
2.47351111132157e-12	0.243684479423392	0.99	0.991	8.2956615651503e-08	RPL7	Control
2.54200700785686e-12	0.485298792097574	0.674	0.557	8.52538310295033e-08	RBL2	Control
2.5427705167351e-12	0.55817932433742	0.587	0.451	8.52794375902617e-08	CAPZA1	Control
2.58502262173192e-12	0.429476345130399	0.795	0.707	8.6696488687645e-08	ATP5F1B	Control
2.76581629161624e-12	0.444759034651918	0.757	0.647	9.27599467882255e-08	SFPQ	Control
3.29183854157193e-12	0.625742315660358	0.495	0.347	1.1040168100724e-07	ITGB7	Control
3.54760704159071e-12	0.491852567513631	0.691	0.558	1.18979644960869e-07	ITGB2	Control
3.73010452431072e-12	-2.05624463945566	0.027	0.107	1.25100245536333e-07	RAB34	Control
4.50697605819703e-12	-0.893216997960021	0.254	0.388	1.51154963039812e-07	PRDM1	Control
5.13001805206068e-12	-0.712290238238301	0.298	0.442	1.72050545430011e-07	STAT1	Control
5.25401473939096e-12	-0.267961737370266	0.997	0.998	1.76209146329694e-07	TMSB10	Control
5.68771172369463e-12	0.671675815107537	0.559	0.424	1.9075447578927e-07	ITGA4	Control
7.01594744644937e-12	0.250531230199153	0.992	0.989	2.35300845459019e-07	CFL1	Control
8.00556205343771e-12	0.236166909485434	0.999	0.993	2.68490540148194e-07	MYL12A	Control
8.2393992805935e-12	-0.281595640353257	0.922	0.959	2.76332973072545e-07	PPDPF	Control
8.76697450668869e-12	-0.738555001897519	0.444	0.568	2.94026791005325e-07	AC016831.7	Control
1.1368008291478e-11	0.529321373109011	0.679	0.551	3.8126026207959e-07	AC020916.1	Control
1.7341151454871e-11	-1.09046035479358	0.115	0.23	5.81587537493462e-07	LINC02273	Control
1.74837328775448e-11	0.461240000500973	0.79	0.723	5.86369433247099e-07	TUBB	Control
2.62264740773762e-11	0.453968993995352	0.736	0.636	8.79583487607043e-07	ARPC5	Control
2.74099159004462e-11	0.315776501945054	0.909	0.871	9.19273759469164e-07	HNRNPK	Control
2.76302447175811e-11	0.254278692159451	0.967	0.956	9.26663147338235e-07	YWHAZ	Control
3.07067230656438e-11	1.04559137214448	0.227	0.114	1.02984207817556e-06	KLF10	Control
3.3320892928986e-11	0.875592313283087	0.422	0.287	1.11751610705233e-06	AC020571.1	Control
3.33757075288733e-11	0.280790347821908	0.943	0.899	1.11935447910335e-06	UBB	Control
3.392749613694e-11	0.626330847776761	0.8	0.751	1.13786036544069e-06	CCL5	Control
4.26585946375897e-11	0.338595826346123	0.889	0.828	1.43068394695548e-06	RPL23	Control
4.44964475440453e-11	0.467000804228503	0.706	0.617	1.49232185773219e-06	IL16	Control
4.64074946773118e-11	-1.74527575655817	0.049	0.135	1.55641455648768e-06	AL157402.2	Control
