p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.375423821065489	0.183484528511376	0.101	0.088	1	SWI5	Control
0.376239548848734	0.183484528511376	0.1	0.087	1	NAGPA	Control
0.186767455519366	-0.18344757584747	0.128	0.15	1	ZNF83	Control
0.217264825094784	-0.18344757584747	0.101	0.119	1	IFNGR2	Control
0.413744742304417	-0.18344757584747	0.07	0.08	1	RELT	Control
0.480988333014358	-0.18344757584747	0.033	0.039	1	POU2F1	Control
0.824255612420869	-0.18344757584747	0.035	0.037	1	AC124016.1	Control
0.824255612420869	-0.18344757584747	0.035	0.037	1	RAB40B	Control
0.43372325706087	0.183254745116626	0.079	0.069	1	ISYNA1	Control
0.50475753698758	0.183254745116626	0.143	0.132	1	FAM136A	Control
0.0286674667771909	0.183217804558151	0.497	0.452	1	NDUFAF3	Control
0.216356571366169	0.183150725862759	0.206	0.183	1	HTATIP2	Control
0.0873933927878545	0.183091405740184	0.365	0.329	1	PIAS1	Control
0.313943362878739	0.183091405740184	0.138	0.123	1	GRWD1	Control
0.249515273344778	0.182991215105685	0.238	0.216	1	CMC1	Control
0.191094398635418	0.182874638398346	0.121	0.101	1	TMX3	Control
0.437455436227346	0.182874638398346	0.116	0.104	1	HSD17B4	Control
0.0189263024580532	0.182874638398346	0.533	0.484	1	OCIAD2	Control
0.290121890429122	0.182874638398345	0.062	0.05	1	H6PD	Control
0.191398882086414	0.182785717627823	0.301	0.275	1	POP5	Control
0.00685244940278996	0.182772170623105	0.709	0.675	1	GNB2	Control
0.289064327178079	0.182737297730824	0.213	0.194	1	MRPL17	Control
0.417645423674594	0.182573103223063	0.098	0.087	1	PRIM1	Control
0.462926878277837	0.182573103223063	0.096	0.086	1	TXLNG	Control
0.00762724237758512	0.182510997063175	0.457	0.387	1	DGKA	Control
0.264331212954842	-0.182188789413114	0.152	0.172	1	PCNX1	Control
0.422591286903224	-0.182188789413114	0.16	0.173	1	TOM1	Control
0.434441272360169	0.182124991698762	0.041	0.034	1	RABL2A	Control
0.507593825776189	0.182124991698762	0.041	0.035	1	AC147067.1	Control
0.58568237357595	0.182124991698762	0.041	0.036	1	L3HYPDH	Control
0.58568237357595	0.182124991698762	0.041	0.036	1	ZNF550	Control
0.0984979333175282	0.182007894580813	0.339	0.305	1	GOLPH3	Control
0.143740342136943	-0.181838322985813	0.168	0.195	1	TIMM8B	Control
