Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oocyte meiosis	41/129	0.0597721833363547	0.12977932957277	0	0	1.37356628072901	3.86963137551328	ANAPC13;CAMK2D;YWHAB;CUL1;ITPR2;SMC3;ADCY7;PPP2CA;PPP1CC;PPP3CA;CDC23;PTTG1;YWHAQ;PPP2R1A;PPP2R5E;CDC27;RPS6KA1;MAPK1;FBXO5;PRKACB;CAMK2G;SKP1;YWHAH;MAP2K1;FBXW11;PPP2R5A;PPP2R5C;SMC1A;MAPK14;YWHAZ;MAPK12;PPP1CA;MAD2L2;MAPK11;STAG3;CDK2;ANAPC4;ANAPC5;CALM3;CALM1;ANAPC2
N-Glycan biosynthesis	18/50	0.062249622697247	0.134238982279097	0	0	1.65701641613924	4.60087642855922	DPAGT1;B4GALT3;B4GALT1;RPN2;RPN1;ALG2;ALG13;ALG12;DDOST;FUT8;GANAB;MAN1A2;DAD1;DOLPP1;MGAT4A;MAN1A1;MGAT1;MGAT2
Long-term potentiation	23/67	0.0641031752329481	0.137302071275977	0	0	1.54013606666547	4.23115633692233	MAP2K1;CAMK2D;CREBBP;ARAF;ITPR2;PPP1CA;RAP1B;PPP1CC;PPP3CA;NRAS;RAP1A;CAMK4;RPS6KA1;EP300;MAPK1;CALM3;KRAS;RAF1;CALM1;HRAS;PRKACB;PLCB2;CAMK2G
Apelin signaling pathway	43/137	0.0658824295441856	0.139538825756904	0	0	1.34860883797054	3.66805892099039	RYR2;BECN1;HDAC5;PDE3B;ITPR2;PRKAG2;ADCY7;PIK3CG;PIK3R5;SLC9A1;NRAS;GNGT2;GNG2;GNG5;AKT2;AKT3;MAPK1;PRKACB;HRAS;MEF2A;SMAD2;GABARAPL2;EGR1;GABARAPL1;MAP2K1;SPHK1;RPS6;RRAS2;PRKAB1;TGFBR1;KLF2;MTOR;ACTA2;RPS6KB1;GNB2;CAMK4;TFAM;CALM3;KRAS;GNB5;RAF1;CALM1;PLCB2
JAK-STAT signaling pathway	50/162	0.0660278355316578	0.139538825756904	0	0	1.31636004322111	3.57744388186656	CSF2;PIK3CD;IL27RA;CCND3;CCND2;AKT2;AKT3;PIM1;EP300;JAK2;HRAS;JAK3;JAK1;IFNAR2;PIAS4;PIAS3;IL4R;CISH;PIAS1;RAF1;SOS2;IRF9;IFNAR1;PIK3R3;PIK3R1;IL2RG;SOCS2;SOCS3;IL21R;STAT4;IL12RB1;SOCS4;MCL1;STAT5A;STAT5B;CREBBP;IL10RB;IL10RA;OSM;IFNLR1;PTPN11;IL2;MTOR;IL2RB;BCL2;GRB2;PTPN6;IL7R;PTPN2;BCL2L1
GnRH signaling pathway	30/93	0.0815853771051462	0.17014845093639	0	0	1.40317586193875	3.51650637352993	CAMK2D;ITPR2;ELK1;ADCY7;CDC42;NRAS;MAPK1;PTK2B;MAP2K7;HRAS;PRKACB;CAMK2G;MAP3K4;MAP2K6;MAP2K3;EGR1;MAP2K1;JUN;PRKCD;MAPK14;MAPK12;MAPK11;GNAS;CALM3;GRB2;KRAS;RAF1;CALM1;PLCB2;SOS2
Rheumatoid arthritis	30/93	0.0815853771051462	0.17014845093639	0	0	1.40317586193875	3.51650637352993	CSF2;CSF1;CCL3L1;ITGB2;TCIRG1;ITGAL;TNF;CCL5;CCL3;ACP5;CTLA4;ATP6V0E2;ATP6V1D;ATP6V1F;ATP6V1G1;HLA-DRB5;JUN;ATP6V0E1;HLA-DRB4;TGFB1;ATP6AP1;CCL20;FOS;LTB;ATP6V0D1;HLA-DRB3;ATP6V0C;HLA-DRB1;HLA-DQB1;IL17A
Basal transcription factors	16/45	0.0838894118973023	0.172681451762629	0	0	1.62495739081823	4.02706019644107	GTF2A1;GTF2A2;TBP;TAF12;CCNH;GTF2B;TAF9;TAF11;GTF2H3;GTF2F2;GTF2H5;ERCC3;TAF7;TAF5;MNAT1;GTF2I
Glycosphingolipid biosynthesis	16/45	0.0838894118973023	0.172681451762629	0	0	1.62495739081823	4.02706019644107	B4GALT3;B3GALNT1;B4GALT1;ST8SIA1;HEXB;HEXA;B3GALT4;NAGA;B3GNT5;ST3GAL5;B3GNT2;ST3GAL1;GLA;ST6GALNAC4;B4GALT4;ST6GALNAC6
mTOR signaling pathway	47/154	0.0854369839587058	0.174732412354256	0	0	1.29486381019132	3.18533416114157	GSK3B;MAPKAP1;NPRL3;PIK3R3;PIK3CD;PIK3R1;TNF;IKBKB;RPTOR;FLCN;NRAS;AKT2;AKT3;RPS6KA1;SESN2;DVL2;MAPK1;ATP6V1D;HRAS;EIF4B;ATP6V1F;ATP6V1G1;MAP2K1;WNT10A;SEC13;PDPK1;STRADB;RPS6;TSC1;RHOA;MTOR;TNFRSF1A;SLC7A5;CLIP1;RRAGA;RRAGC;RPS6KB1;RHEB;GRB2;KRAS;LAMTOR1;RAF1;EIF4E2;SGK1;LPIN1;SOS2;TELO2
Estrogen signaling pathway	42/137	0.0937573090952369	0.190519660148654	0	0	1.30303321897749	3.08433911733128	SHC4;HSP90AB1;ATF6B;SHC1;ITPR2;PIK3R3;PIK3CD;PIK3R1;ADCY7;HSP90B1;NRAS;AKT2;AKT3;MAPK1;PRKACB;CTSD;HRAS;HSPA8;MAP2K1;JUN;HSP90AA1;PRKCD;HSPA6;FOS;KRT10;POMC;CREB1;KRT18;BCL2;GNAS;RARA;CALM3;GRB2;KRAS;RAF1;CALM1;PLCB2;SOS2;EBAG9;HSPA1B;FKBP5;HSPA1A
Hedgehog signaling pathway	19/56	0.0958993683489975	0.19204145155737	0	0	1.5125030074585	3.54599657490975	EVC2;GSK3B;CSNK1G3;SMURF2;FBXW11;MGRN1;CSNK1A1;PTCH1;CUL1;ARRB1;CSNK1D;ARRB2;EFCAB7;CCND2;KIF3A;SPOP;BCL2;PRKACB;CSNK1G1
Pyrimidine metabolism	19/56	0.0958993683489975	0.19204145155737	0	0	1.5125030074585	3.54599657490975	ENTPD1;DUT;RRM1;CANT1;ENTPD6;NME2;NT5C2;TYMP;UCKL1;DCTD;NT5C;NT5C3B;NT5E;PNP;UCK1;NME7;DPYD;CMPK1;UMPS
Rap1 signaling pathway	62/210	0.0963236302764098	0.19204145155737	0	0	1.23519229524816	2.89040136523737	ITGB1;CSF1;ITGB2;PIK3CD;ITGAL;ACTB;CRKL;ACTG1;AKT2;RASSF5;AKT3;RAC2;RAC1;HRAS;MAP2K3;PRKCI;MAP2K1;F2R;RHOA;VAV1;APBB1IP;TIAM1;PRKD3;PRKD2;EVL;LCP2;PFN1;TLN1;RAPGEF5;RAF1;PLCB2;SKAP1;RALA;RALB;RGS14;PIK3R3;PIK3R1;EFNA5;RASGRP2;PRKCZ;ADCY7;THBS1;RAP1B;CDC42;NRAS;RAP1A;KRIT1;MAPK1;PLCG1;RALGDS;MAP2K6;VASP;MAPK14;MAPK12;MAPK11;LPAR5;GNAS;CTNNB1;CALM3;KRAS;CALM1;LAT
Central carbon metabolism in cancer	23/70	0.0982307093133788	0.194619592827132	0	0	1.4415388568516	3.34499922158081	G6PD;MAP2K1;PGAM1;PIK3CD;PIK3R3;PDHB;PIK3R1;SLC1A5;HIF1A;MTOR;HK1;SLC7A5;LDHB;NRAS;PFKL;PKM;AKT2;AKT3;PGAM4;MAPK1;KRAS;RAF1;HRAS
Glycolysis / Gluconeogenesis	22/67	0.104743216585685	0.206233538246349	0	0	1.44005454385502	3.24911367600577	GPI;TPI1;ADPGK;PGAM1;ENO1;BPGM;PDHB;ENO2;ADH5;HK1;ALDH3A2;LDHB;PFKL;PKM;PGK1;PGM2;PGAM4;ACSS1;DLD;GAPDH;PGM1;ALDH9A1
SNARE interactions in vesicular transport	12/33	0.107734941759404	0.210814669985995	0	0	1.68256476830163	3.74889111550206	VAMP7;STX17;GOSR1;SNAP23;STX18;STX3;VAMP4;SNAP29;STX11;BET1L;STX1A;VAMP2
Glutathione metabolism	19/57	0.111012981974164	0.215896412796381	0	0	1.47260138476756	3.23693707579209	G6PD;GGT7;GSTM2;RRM1;GPX1;GSTM1;GPX4;GSTO1;GSTP1;ODC1;GPX7;TXNDC12;PGD;PRDX6;GGCT;SMS;CHAC1;LAP3;GCLM
