Gene	p_val	p_val_adj
VPS26B	1.16388278225329e-31	5.22049410323166e-30
CHCHD10	1.19732776507825e-31	5.35917845229963e-30
LYN	1.21928341955721e-31	5.44596147985805e-30
PGAM1	1.32765700926352e-31	5.91755695557453e-30
SSBP4	1.46524172850629e-31	6.51710031697893e-30
CD247	1.92537741572994e-31	8.54577557575865e-30
DNAJC1	2.07265285477664e-31	9.18025114132383e-30
PLEKHG3	2.14579000531079e-31	9.48439182347367e-30
RPS10	2.25147060738833e-31	9.93081089529125e-30
ODC1	2.43027174883812e-31	1.06750818681883e-29
RPS14P3	2.4255209005742e-31	1.06750818681883e-29
FAAH2	2.81579902921822e-31	1.23429735958458e-29
RPS6KA1	2.98342277836792e-31	1.30507830238874e-29
ICA1	3.36520564157771e-31	1.46905767266898e-29
FKBP5	3.97024820977504e-31	1.72962599627489e-29
BCL7B	4.47406115333465e-31	1.94511642272844e-29
SRP9	4.55805390416855e-31	1.97758019694969e-29
TNFSF13B	5.37994795855938e-31	2.32940767119992e-29
GNGT2	5.95208967064292e-31	2.57188461206436e-29
PIK3R6	8.15159009712037e-31	3.51512470529483e-29
DNAJB1	9.89884168790282e-31	4.2599153194837e-29
CD47	1.06548008251397e-30	4.57595656490209e-29
KIR3DL1	1.32515386579978e-30	5.67968978117337e-29
STX11	1.35354067300708e-30	5.78966107228191e-29
LOC554223	1.42740408188905e-30	6.09332092582657e-29
CD82	1.60391349128928e-30	6.83305795807095e-29
NELFCD	2.32273242030426e-30	9.87556934452408e-29
LINC00869	2.4916925123507e-30	1.05727496684065e-28
SERINC5	2.55029777427385e-30	1.07998238680627e-28
RNF213	3.2940801994515e-30	1.39217540859687e-28
RAB9A	3.40028637854817e-30	1.43420429040314e-28
GLUL	4.03113711537859e-30	1.69691676666413e-28
GPR68	4.25637848327022e-30	1.78818467130814e-28
GTF3C1	4.35897017480085e-30	1.82766622981373e-28
SPINT2	6.77408405471512e-30	2.83469363520387e-28
TMEM14C	6.95659794383678e-30	2.9053382278827e-28
PYCARD	7.17611582372403e-30	2.99112914177071e-28
TNFRSF9	7.83671136702713e-30	3.26007192868328e-28
HLA-G	8.01695173090681e-30	3.32852539966573e-28
GCLM	9.41413784009377e-30	3.90098336748886e-28
TLN1	9.63025414030251e-30	3.98275773568534e-28
CTSB	1.0027751433825e-29	4.13908121439751e-28
FAM3C	1.13571232491936e-29	4.67869372533771e-28
ITGAL	1.53715229167969e-29	6.32019825974349e-28
FOSB	1.77021365569262e-29	7.26438160912469e-28
BTN3A3	1.93528285732316e-29	7.92644036698226e-28
LBH	2.26000364517752e-29	9.23858137496844e-28
CD97	2.30009235124859e-29	9.38437679309425e-28
