TCR_Cluster	n	Sample
S_4022	1	LN2
S_4023	1	LN2
S_4024	1	LN2
S_4025	1	LN2
S_4026	1	LN2
S_4027	1	LN2
S_4028	1	LN2
S_4029	1	LN2
S_4030	1	LN2
S_4031	1	LN2
S_4032	1	LN2
S_4033	1	LN2
S_4034	1	LN2
S_4035	1	LN2
S_4036	1	LN2
S_4037	1	LN2
S_4038	1	LN2
S_4039	1	LN2
S_4040	1	LN2
S_4041	1	LN2
S_4042	1	LN2
S_4043	1	LN2
S_4044	1	LN2
S_4045	1	LN2
S_4046	1	LN2
S_4047	1	LN2
S_4048	1	LN2
S_4049	1	LN2
S_4050	1	LN2
S_4051	1	LN2
S_4052	1	LN2
S_4053	1	LN2
S_4054	1	LN2
S_4056	1	LN2
S_4057	1	LN2
S_4058	1	LN2
S_4059	1	LN2
S_4060	1	LN2
S_4061	1	LN2
S_4062	1	LN2
S_4063	1	LN2
S_4064	1	LN2
S_4065	1	LN2
S_4066	1	LN2
S_4067	1	LN2
S_4068	1	LN2
S_4069	1	LN2
S_4070	1	LN2
S_4071	1	LN2
S_4073	1	LN2
S_4074	1	LN2
S_4075	1	LN2
S_4076	1	LN2
S_4077	1	LN2
S_4078	1	LN2
S_4079	1	LN2
S_4082	1	LN2
S_4083	1	LN2
S_4084	1	LN2
S_4085	1	LN2
S_4086	1	LN2
S_4088	1	LN2
S_4089	1	LN2
S_4090	1	LN2
S_4091	1	LN2
S_4092	1	LN2
S_4093	1	LN2
S_4096	1	LN2
S_4097	1	LN2
S_4098	1	LN2
S_4099	1	LN2
S_4101	1	LN2
S_4102	1	LN2
S_4103	1	LN2
S_4104	1	LN2
S_4107	1	LN2
S_4108	1	LN2
S_4109	1	LN2
S_4110	1	LN2
S_4111	1	LN2
S_4112	1	LN2
S_4113	1	LN2
S_4114	1	LN2
S_4115	1	LN2
S_4117	1	LN2
S_4119	1	LN2
S_4120	1	LN2
S_4122	1	LN2
S_4123	1	LN2
S_4124	1	LN2
S_4125	1	LN2
S_4126	1	LN2
S_4127	1	LN2
S_4128	1	LN2
S_4129	1	LN2
S_4130	1	LN2
S_4131	1	LN2
S_4132	1	LN2
S_4134	1	LN2
S_4135	1	LN2
S_4136	1	LN2
S_4137	1	LN2
S_4138	1	LN2
S_4139	1	LN2
S_4140	1	LN2
S_4142	1	LN2
S_4143	1	LN2
S_4144	1	LN2
S_4145	1	LN2
S_4146	1	LN2
S_4147	1	LN2
S_4148	1	LN2
S_4149	1	LN2
S_4150	1	LN2
S_4152	1	LN2
S_4153	1	LN2
S_4154	1	LN2
S_4155	1	LN2
S_4156	1	LN2
S_4157	1	LN2
S_4158	1	LN2
S_4159	1	LN2
S_4160	1	LN2
S_4161	1	LN2
S_4162	1	LN2
S_4163	1	LN2
S_4164	1	LN2
S_4165	1	LN2
S_4166	1	LN2
S_4167	1	LN2
S_4168	1	LN2
S_4169	1	LN2
S_4171	1	LN2
S_4172	1	LN2
S_4173	1	LN2
S_4174	1	LN2
S_4175	1	LN2
S_4176	1	LN2
S_4177	1	LN2
S_4178	1	LN2
S_4179	1	LN2
S_4180	1	LN2
S_4181	1	LN2
S_4183	1	LN2
S_4184	1	LN2
S_4185	1	LN2
S_4186	1	LN2
S_4187	1	LN2
S_4188	1	LN2
S_4189	1	LN2
S_4190	1	LN2
S_4191	1	LN2
S_4194	1	LN2
S_4195	1	LN2
S_4197	1	LN2
S_4198	1	LN2
S_4199	1	LN2
S_4200	1	LN2
S_4201	1	LN2
S_4202	1	LN2
S_4203	1	LN2
S_4205	1	LN2
S_4206	1	LN2
S_4208	1	LN2
S_4209	1	LN2
S_4210	1	LN2
S_4211	1	LN2
S_4212	1	LN2
S_4213	1	LN2
S_4214	1	LN2
S_4215	1	LN2
S_4216	1	LN2
S_4217	1	LN2
S_4218	1	LN2
S_4219	1	LN2
S_4220	1	LN2
S_4221	1	LN2
S_4222	1	LN2
S_4223	1	LN2
S_4224	1	LN2
S_4225	1	LN2
S_4226	1	LN2
S_4227	1	LN2
S_4229	1	LN2
S_4230	1	LN2
S_4231	1	LN2
S_4232	1	LN2
S_4233	1	LN2
S_4235	1	LN2
S_4236	1	LN2
S_4238	1	LN2
S_4239	1	LN2
S_4240	1	LN2
S_4241	1	LN2
S_4242	1	LN2
S_4243	1	LN2
S_4244	1	LN2
S_4245	1	LN2
S_4246	1	LN2
S_4247	1	LN2
S_4248	1	LN2
S_4249	1	LN2
S_4250	1	LN2
S_4251	1	LN2
S_4252	1	LN2
S_4253	1	LN2
S_4254	1	LN2
S_4255	1	LN2
S_4256	1	LN2
S_4258	1	LN2
S_4259	1	LN2
S_4260	1	LN2
S_4261	1	LN2
S_4262	1	LN2
S_4263	1	LN2
S_4265	1	LN2
S_4266	1	LN2
S_4267	1	LN2
S_4268	1	LN2
S_4269	1	LN2
S_4270	1	LN2
S_4272	1	LN2
S_4273	1	LN2
S_4274	1	LN2
S_4275	1	LN2
S_4276	1	LN2
S_4277	1	LN2
S_4278	1	LN2
S_4279	1	LN2
S_4280	1	LN2
S_4281	1	LN2
S_4282	1	LN2
S_4283	1	LN2
S_4284	1	LN2
S_4285	1	LN2
S_4286	1	LN2
S_4287	1	LN2
S_4288	1	LN2
S_4290	1	LN2
S_4292	1	LN2
S_4293	1	LN2
S_4294	1	LN2
S_4295	1	LN2
S_4296	1	LN2
S_4297	1	LN2
S_4298	1	LN2
S_4300	1	LN2
S_4301	1	LN2
S_4302	1	LN2
S_4303	1	LN2
S_4304	1	LN2
S_4305	1	LN2
S_4306	1	LN2
S_4307	1	LN2
S_4308	1	LN2
S_4309	1	LN2
S_4312	1	LN2
S_4314	1	LN2
S_4315	1	LN2
S_4316	1	LN2
S_4317	1	LN2
S_4318	1	LN2
S_4319	1	LN2
S_4321	1	LN2
S_4322	1	LN2
S_4323	1	LN2
S_4324	1	LN2
S_4325	1	LN2
S_4326	1	LN2
S_4327	1	LN2
S_4328	1	LN2
S_4329	1	LN2
S_4330	1	LN2
S_4332	1	LN2
S_4333	1	LN2
S_4334	1	LN2
S_4335	1	LN2
S_4336	1	LN2
S_4337	1	LN2
S_4338	1	LN2
S_4339	1	LN2
S_4340	1	LN2
S_4341	1	LN2
S_4342	1	LN2
S_4343	1	LN2
S_4344	1	LN2
S_4345	1	LN2
S_4346	1	LN2
S_4347	1	LN2
S_4348	1	LN2
S_4349	1	LN2
S_4350	1	LN2
S_4351	1	LN2
S_4352	1	LN2
S_4353	1	LN2
S_4354	1	LN2
S_4355	1	LN2
S_4356	1	LN2
S_4357	1	LN2
S_4358	1	LN2
S_4359	1	LN2
S_4360	1	LN2
S_4361	1	LN2
S_4362	1	LN2
S_4363	1	LN2
S_4364	1	LN2
S_4365	1	LN2
S_4366	1	LN2
S_4367	1	LN2
S_4368	1	LN2
S_4369	1	LN2
S_4370	1	LN2
S_4371	1	LN2
S_4372	1	LN2
S_4373	1	LN2
S_4374	1	LN2
S_4375	1	LN2
S_4376	1	LN2
S_4377	1	LN2
S_4378	1	LN2
S_4379	1	LN2
S_4381	1	LN2
S_4382	1	LN2
S_4383	1	LN2
S_4384	1	LN2
S_4385	1	LN2
S_4386	1	LN2
S_4387	1	LN2
S_4388	1	LN2
S_4389	1	LN2
S_4391	1	LN2
S_4392	1	LN2
S_4393	1	LN2
S_4394	1	LN2
S_4395	1	LN2
S_4396	1	LN2
S_4397	1	LN2
S_4398	1	LN2
S_4400	1	LN2
S_4401	1	LN2
S_4402	1	LN2
S_4403	1	LN2
S_4404	1	LN2
S_4405	1	LN2
S_4406	1	LN2
S_4408	1	LN2
S_4409	1	LN2
S_4410	1	LN2
S_4411	1	LN2
S_4412	1	LN2
S_4413	1	LN2
S_4414	1	LN2
S_4415	1	LN2
S_4416	1	LN2
S_4417	1	LN2
S_4420	1	LN2
S_4422	1	LN2
S_4423	1	LN2
S_4424	1	LN2
S_4425	1	LN2
S_4426	1	LN2
S_4427	1	LN2
S_4428	1	LN2
S_4429	1	LN2
S_4430	1	LN2
S_4431	1	LN2
S_4432	1	LN2
S_4433	1	LN2
S_4434	1	LN2
S_4435	1	LN2
S_4436	1	LN2
S_4438	1	LN2
S_4441	1	LN2
S_4442	1	LN2
S_4443	1	LN2
S_4444	1	LN2
S_4446	1	LN2
S_4447	1	LN2
S_4448	1	LN2
S_4449	1	LN2
S_4450	1	LN2
S_4451	1	LN2
S_4452	1	LN2
S_4453	1	LN2
S_4454	1	LN2
S_4455	1	LN2
S_4457	1	LN2
S_4459	1	LN2
S_4460	1	LN2
S_4461	1	LN2
S_4463	1	LN2
S_4464	1	LN2
S_4468	1	LN2
S_4469	1	LN2
S_4470	1	LN2
S_4471	1	LN2
S_4472	1	LN2
S_4473	1	LN2
S_4474	1	LN2
S_4475	1	LN2
S_4478	1	LN2
S_4479	1	LN2
S_4481	1	LN2
S_4482	1	LN2
S_4483	1	LN2
S_4484	1	LN2
S_4485	1	LN2
S_4486	1	LN2
S_4487	1	LN2
S_4488	1	LN2
S_4489	1	LN2
S_4490	1	LN2
S_4491	1	LN2
S_4493	1	LN2
S_4494	1	LN2
S_4495	1	LN2
S_4496	1	LN2
S_4497	1	LN2
S_4498	1	LN2
S_4499	1	LN2
S_4500	1	LN2
S_4501	1	LN2
S_4502	1	LN2
S_4503	1	LN2
S_4504	1	LN2
S_4505	1	LN2
S_4507	1	LN2
S_4508	1	LN2
S_4509	1	LN2
S_4510	1	LN2
S_4511	1	LN2
S_4514	1	LN2
S_4517	1	LN2
S_4518	1	LN2
S_4519	1	LN2
S_4523	1	LN2
S_4524	1	LN2
S_4527	1	LN2
S_4528	1	LN2
S_4529	1	LN2
S_4530	1	LN2
S_4531	1	LN2
S_4532	1	LN2
S_4533	1	LN2
S_4536	1	LN2
S_4537	1	LN2
S_4538	1	LN2
S_4539	1	LN2
S_4540	1	LN2
S_4541	1	LN2
S_4542	1	LN2
S_4544	1	LN2
S_4545	1	LN2
S_4546	1	LN2
S_4547	1	LN2
S_4548	1	LN2
S_4549	1	LN2
S_4550	1	LN2
S_4551	1	LN2
S_4552	1	LN2
S_4554	1	LN2
S_4555	1	LN2
S_4560	1	LN2
S_4561	1	LN2
S_4564	1	LN2
S_4565	1	LN2
S_4566	1	LN2
S_4567	1	LN2
S_7330	204	LN3
S_4569	97	LN3
S_4568	96	LN3
S_4570	93	LN3
S_4571	79	LN3
S_4572	68	LN3
S_4580	60	LN3
M_41	48	LN3
S_4573	46	LN3
S_6444	45	LN3
S_4575	44	LN3
S_4574	41	LN3
S_4576	39	LN3
M_129	37	LN3
S_4577	31	LN3
S_4578	30	LN3
S_4581	30	LN3
S_8471	29	LN3
S_4579	28	LN3
M_83	27	LN3
S_4583	27	LN3
S_4587	26	LN3
S_4590	26	LN3
S_4622	26	LN3
S_4582	25	LN3
S_4584	25	LN3
M_66	24	LN3
S_4601	24	LN3
S_4626	24	LN3
S_4628	24	LN3
S_4635	24	LN3
M_76	23	LN3
S_4602	23	LN3
S_4588	22	LN3
S_4589	22	LN3
S_4591	22	LN3
S_4592	22	LN3
S_4594	22	LN3
S_4593	21	LN3
S_4595	21	LN3
S_4597	21	LN3
M_31	20	LN3
S_4598	19	LN3
S_4599	19	LN3
S_4600	19	LN3
S_4610	19	LN3
S_4926	19	LN3
S_4603	18	LN3
M_15	16	LN3
S_4617	16	LN3
S_4606	15	LN3
S_4607	15	LN3
S_4609	15	LN3
S_4883	15	LN3
M_104	14	LN3
S_4616	14	LN3
S_4619	14	LN3
S_4725	14	LN3
S_4611	13	LN3
S_4612	13	LN3
S_4613	13	LN3
S_4615	13	LN3
S_4623	13	LN3
S_4627	13	LN3
S_4644	13	LN3
S_4651	13	LN3
S_5200	13	LN3
S_4620	12	LN3
S_4631	12	LN3
S_4642	12	LN3
S_4822	12	LN3
S_4838	12	LN3
S_4917	12	LN3
S_4621	11	LN3
S_4624	11	LN3
S_4625	11	LN3
S_4634	11	LN3
S_4638	11	LN3
S_4639	11	LN3
S_4640	11	LN3
S_4645	11	LN3
S_4646	11	LN3
S_4652	11	LN3
S_4653	11	LN3
S_4836	11	LN3
S_4856	11	LN3
S_4629	10	LN3
S_4630	10	LN3
S_4632	10	LN3
S_4633	10	LN3
S_4636	10	LN3
S_4637	10	LN3
S_4641	10	LN3
S_4647	10	LN3
S_4648	10	LN3
S_4650	10	LN3
S_4657	10	LN3
S_4659	10	LN3
S_4664	10	LN3
S_4666	10	LN3
S_4685	10	LN3
S_4837	10	LN3
S_4893	10	LN3
M_48	9	LN3
S_4643	9	LN3
S_4649	9	LN3
S_4656	9	LN3
S_4669	9	LN3
S_4675	9	LN3
S_4676	9	LN3
S_4692	9	LN3
S_4696	9	LN3
S_4699	9	LN3
S_4700	9	LN3
S_4779	9	LN3
S_4833	9	LN3
S_5257	9	LN3
S_4654	8	LN3
S_4655	8	LN3
S_4658	8	LN3
S_4660	8	LN3
S_4661	8	LN3
S_4662	8	LN3
S_4663	8	LN3
S_4665	8	LN3
S_4667	8	LN3
S_4668	8	LN3
S_4670	8	LN3
S_4671	8	LN3
S_4672	8	LN3
S_4673	8	LN3
S_4679	8	LN3
S_4684	8	LN3
S_4689	8	LN3
S_4693	8	LN3
S_4694	8	LN3
S_4707	8	LN3
S_4712	8	LN3
S_4735	8	LN3
S_4805	8	LN3
S_4925	8	LN3
S_4977	8	LN3
S_4987	8	LN3
S_4674	7	LN3
S_4677	7	LN3
S_4678	7	LN3
S_4680	7	LN3
S_4681	7	LN3
S_4682	7	LN3
S_4683	7	LN3
S_4686	7	LN3
S_4687	7	LN3
S_4688	7	LN3
S_4690	7	LN3
S_4691	7	LN3
S_4695	7	LN3
S_4697	7	LN3
S_4698	7	LN3
S_4702	7	LN3
S_4703	7	LN3
S_4708	7	LN3
S_4709	7	LN3
S_4714	7	LN3
S_4719	7	LN3
S_4720	7	LN3
S_4723	7	LN3
S_4724	7	LN3
S_4732	7	LN3
S_4738	7	LN3
S_4739	7	LN3
S_4759	7	LN3
S_4784	7	LN3
S_5246	7	LN3
S_5261	7	LN3
S_5826	7	LN3
S_6633	7	LN3
S_8154	7	LN3
M_38	6	LN3
S_4704	6	LN3
S_4705	6	LN3
S_4706	6	LN3
S_4710	6	LN3
S_4711	6	LN3
S_4713	6	LN3
S_4715	6	LN3
S_4716	6	LN3
S_4717	6	LN3
S_4718	6	LN3
S_4721	6	LN3
S_4722	6	LN3
S_4726	6	LN3
S_4727	6	LN3
S_4728	6	LN3
S_4729	6	LN3
S_4730	6	LN3
S_4733	6	LN3
S_4734	6	LN3
S_4736	6	LN3
S_4737	6	LN3
S_4742	6	LN3
S_4750	6	LN3
S_4751	6	LN3
S_4763	6	LN3
S_4780	6	LN3
S_4782	6	LN3
S_4785	6	LN3
S_4787	6	LN3
S_4834	6	LN3
S_4845	6	LN3
S_5025	6	LN3
S_5155	6	LN3
S_5258	6	LN3
S_6632	6	LN3
S_6965	6	LN3
S_8153	6	LN3
S_8771	6	LN3
M_123	5	LN3
M_128	5	LN3
M_136	5	LN3
M_138	5	LN3
S_4740	5	LN3
S_4741	5	LN3
S_4743	5	LN3
S_4744	5	LN3
S_4745	5	LN3
S_4746	5	LN3
S_4747	5	LN3
S_4748	5	LN3
S_4749	5	LN3
S_4752	5	LN3
S_4753	5	LN3
S_4754	5	LN3
S_4755	5	LN3
S_4756	5	LN3
S_4757	5	LN3
S_4758	5	LN3
S_4760	5	LN3
S_4761	5	LN3
S_4762	5	LN3
S_4764	5	LN3
S_4765	5	LN3
S_4766	5	LN3
S_4767	5	LN3
S_4768	5	LN3
S_4769	5	LN3
S_4770	5	LN3
S_4771	5	LN3
S_4772	5	LN3
S_4773	5	LN3
S_4774	5	LN3
S_4775	5	LN3
S_4776	5	LN3
S_4777	5	LN3
S_4778	5	LN3
S_4781	5	LN3
S_4783	5	LN3
S_4786	5	LN3
S_4789	5	LN3
S_4792	5	LN3
S_4795	5	LN3
S_4823	5	LN3
S_4826	5	LN3
S_4831	5	LN3
S_4840	5	LN3
S_4842	5	LN3
S_4853	5	LN3
S_4858	5	LN3
S_4861	5	LN3
S_4892	5	LN3
S_4894	5	LN3
S_5003	5	LN3
S_5004	5	LN3
S_5086	5	LN3
S_5225	5	LN3
S_5359	5	LN3
S_6099	5	LN3
S_7657	5	LN3
S_8047	5	LN3
M_35	4	LN3
M_58	4	LN3
M_87	4	LN3
S_4788	4	LN3
S_4790	4	LN3
S_4791	4	LN3
S_4793	4	LN3
S_4794	4	LN3
S_4796	4	LN3
S_4797	4	LN3
S_4798	4	LN3
S_4799	4	LN3
S_4800	4	LN3
S_4801	4	LN3
S_4802	4	LN3
S_4803	4	LN3
S_4804	4	LN3
S_4806	4	LN3
S_4807	4	LN3
S_4808	4	LN3
S_4809	4	LN3
S_4810	4	LN3
S_4811	4	LN3
S_4812	4	LN3
S_4813	4	LN3
S_4814	4	LN3
S_4815	4	LN3
S_4816	4	LN3
S_4817	4	LN3
S_4818	4	LN3
S_4819	4	LN3
S_4820	4	LN3
S_4821	4	LN3
S_4824	4	LN3
S_4825	4	LN3
S_4827	4	LN3
S_4828	4	LN3
S_4829	4	LN3
S_4830	4	LN3
S_4832	4	LN3
S_4835	4	LN3
S_4839	4	LN3
S_4841	4	LN3
S_4843	4	LN3
S_4844	4	LN3
S_4846	4	LN3
S_4847	4	LN3
S_4848	4	LN3
S_4849	4	LN3
S_4850	4	LN3
S_4851	4	LN3
S_4852	4	LN3
S_4854	4	LN3
S_4855	4	LN3
S_4857	4	LN3
S_4862	4	LN3
S_4863	4	LN3
S_4884	4	LN3
S_4885	4	LN3
S_4897	4	LN3
S_4931	4	LN3
S_4935	4	LN3
S_4936	4	LN3
S_4937	4	LN3
S_4943	4	LN3
S_4946	4	LN3
S_4948	4	LN3
S_4951	4	LN3
S_4954	4	LN3
S_4964	4	LN3
S_4980	4	LN3
S_4984	4	LN3
S_4986	4	LN3
S_4997	4	LN3
S_4998	4	LN3
S_5014	4	LN3
S_5017	4	LN3
S_5021	4	LN3
S_5026	4	LN3
S_5050	4	LN3
S_5066	4	LN3
S_5105	4	LN3
S_5165	4	LN3
S_5232	4	LN3
S_5476	4	LN3
S_6908	4	LN3
S_8049	4	LN3
S_8120	4	LN3
S_9114	4	LN3
M_100	3	LN3
M_130	3	LN3
M_33	3	LN3
M_45	3	LN3
M_51	3	LN3
M_65	3	LN3
S_1323	3	LN3
S_4859	3	LN3
S_4860	3	LN3
S_4864	3	LN3
S_4865	3	LN3
S_4866	3	LN3
S_4867	3	LN3
S_4868	3	LN3
S_4869	3	LN3
S_4870	3	LN3
S_4871	3	LN3
S_4872	3	LN3
S_4873	3	LN3
S_4874	3	LN3
S_4875	3	LN3
S_4876	3	LN3
S_4877	3	LN3
S_4878	3	LN3
S_4879	3	LN3
S_4880	3	LN3
S_4881	3	LN3
S_4882	3	LN3
S_4886	3	LN3
S_4887	3	LN3
S_4888	3	LN3
S_4889	3	LN3
S_4890	3	LN3
S_4891	3	LN3
S_4895	3	LN3
S_4896	3	LN3
S_4898	3	LN3
S_4899	3	LN3
S_4900	3	LN3
S_4901	3	LN3
S_4902	3	LN3
S_4903	3	LN3
S_4904	3	LN3
S_4905	3	LN3
S_4906	3	LN3
S_4907	3	LN3
S_4908	3	LN3
S_4909	3	LN3
S_4910	3	LN3
S_4911	3	LN3
S_4912	3	LN3
S_4913	3	LN3
S_4914	3	LN3
S_4915	3	LN3
S_4916	3	LN3
S_4918	3	LN3
S_4919	3	LN3
S_4920	3	LN3
S_4922	3	LN3
S_4923	3	LN3
S_4924	3	LN3
S_4927	3	LN3
S_4928	3	LN3
S_4929	3	LN3
S_4930	3	LN3
S_4932	3	LN3
S_4933	3	LN3
S_4934	3	LN3
S_4938	3	LN3
S_4939	3	LN3
S_4940	3	LN3
S_4941	3	LN3
S_4942	3	LN3
S_4944	3	LN3
S_4945	3	LN3
S_4947	3	LN3
S_4949	3	LN3
S_4950	3	LN3
S_4952	3	LN3
S_4953	3	LN3
S_4955	3	LN3
S_4956	3	LN3
S_4957	3	LN3
S_4958	3	LN3
S_4959	3	LN3
S_4960	3	LN3
S_4961	3	LN3
S_4962	3	LN3
S_4963	3	LN3
S_4965	3	LN3
S_4966	3	LN3
S_4967	3	LN3
S_4968	3	LN3
S_4969	3	LN3
S_4970	3	LN3
S_4971	3	LN3
S_4972	3	LN3
S_4973	3	LN3
S_4974	3	LN3
S_4975	3	LN3
S_4976	3	LN3
S_4978	3	LN3
S_4979	3	LN3
S_4981	3	LN3
S_4982	3	LN3
S_4983	3	LN3
S_4985	3	LN3
S_4988	3	LN3
S_4989	3	LN3
S_4991	3	LN3
S_4992	3	LN3
S_4993	3	LN3
S_4994	3	LN3
S_4995	3	LN3
S_4996	3	LN3
S_4999	3	LN3
S_5000	3	LN3
S_5001	3	LN3
S_5002	3	LN3
S_5005	3	LN3
S_5006	3	LN3
S_5007	3	LN3
S_5008	3	LN3
S_5009	3	LN3
S_5010	3	LN3
S_5011	3	LN3
S_5012	3	LN3
S_5013	3	LN3
S_5015	3	LN3
S_5016	3	LN3
S_5018	3	LN3
S_5020	3	LN3
S_5022	3	LN3
S_5037	3	LN3
S_5042	3	LN3
S_5044	3	LN3
S_5065	3	LN3
S_5067	3	LN3
S_5103	3	LN3
S_5107	3	LN3
S_5114	3	LN3
S_5118	3	LN3
S_5127	3	LN3
S_5142	3	LN3
S_5144	3	LN3
S_5146	3	LN3
S_5151	3	LN3
S_5156	3	LN3
S_5166	3	LN3
S_5172	3	LN3
S_5186	3	LN3
S_5198	3	LN3
S_5219	3	LN3
S_5229	3	LN3
S_5259	3	LN3
S_5260	3	LN3
S_5267	3	LN3
S_5273	3	LN3
S_5277	3	LN3
S_5278	3	LN3
S_5284	3	LN3
S_5298	3	LN3
S_5308	3	LN3
S_5311	3	LN3
S_5342	3	LN3
S_5348	3	LN3
S_5363	3	LN3
S_5366	3	LN3
S_5372	3	LN3
S_5374	3	LN3
S_5375	3	LN3
S_5653	3	LN3
S_5945	3	LN3
S_5960	3	LN3
S_5975	3	LN3
S_6035	3	LN3
S_6077	3	LN3
S_6098	3	LN3
S_6220	3	LN3
S_6487	3	LN3
S_6575	3	LN3
S_7067	3	LN3
S_7291	3	LN3
S_7919	3	LN3
S_7969	3	LN3
S_8342	3	LN3
S_8409	3	LN3
S_8703	3	LN3
S_8739	3	LN3
S_8740	3	LN3
S_8760	3	LN3
S_8766	3	LN3
S_8842	3	LN3
M_1	2	LN3
M_101	2	LN3
M_107	2	LN3
M_108	2	LN3
M_112	2	LN3
M_115	2	LN3
M_116	2	LN3
M_125	2	LN3
M_21	2	LN3
M_26	2	LN3
M_29	2	LN3
M_42	2	LN3
M_52	2	LN3
M_54	2	LN3
M_56	2	LN3
M_61	2	LN3
M_67	2	LN3
M_68	2	LN3
M_71	2	LN3
M_74	2	LN3
M_79	2	LN3
M_80	2	LN3
M_81	2	LN3
M_85	2	LN3
M_89	2	LN3
M_9	2	LN3
M_96	2	LN3
S_5023	2	LN3
S_5024	2	LN3
S_5027	2	LN3
S_5028	2	LN3
S_5029	2	LN3
S_5030	2	LN3
S_5031	2	LN3
S_5032	2	LN3
S_5033	2	LN3
S_5034	2	LN3
S_5035	2	LN3
S_5036	2	LN3
S_5038	2	LN3
S_5039	2	LN3
S_5041	2	LN3
S_5043	2	LN3
S_5045	2	LN3
S_5046	2	LN3
S_5047	2	LN3
S_5048	2	LN3
S_5049	2	LN3
S_5051	2	LN3
S_5052	2	LN3
S_5053	2	LN3
S_5054	2	LN3
S_5055	2	LN3
S_5056	2	LN3
S_5057	2	LN3
S_5058	2	LN3
S_5059	2	LN3
S_5060	2	LN3
S_5061	2	LN3
S_5062	2	LN3
S_5063	2	LN3
S_5064	2	LN3
S_5068	2	LN3
S_5069	2	LN3
S_5070	2	LN3
S_5071	2	LN3
S_5072	2	LN3
S_5073	2	LN3
S_5074	2	LN3
S_5075	2	LN3
S_5076	2	LN3
S_5077	2	LN3
S_5078	2	LN3
S_5079	2	LN3
S_5080	2	LN3
S_5081	2	LN3
S_5082	2	LN3
S_5083	2	LN3
S_5084	2	LN3
S_5085	2	LN3
S_5087	2	LN3
S_5088	2	LN3
S_5089	2	LN3
S_5090	2	LN3
S_5091	2	LN3
S_5092	2	LN3
S_5093	2	LN3
S_5094	2	LN3
S_5095	2	LN3
S_5096	2	LN3
S_5097	2	LN3
S_5098	2	LN3
S_5099	2	LN3
S_5100	2	LN3
S_5101	2	LN3
S_5102	2	LN3
S_5104	2	LN3
S_5108	2	LN3
S_5109	2	LN3
S_5110	2	LN3
S_5111	2	LN3
S_5112	2	LN3
S_5113	2	LN3
S_5115	2	LN3
S_5116	2	LN3
S_5117	2	LN3
S_5119	2	LN3
S_5120	2	LN3
S_5121	2	LN3
S_5122	2	LN3
S_5123	2	LN3
S_5124	2	LN3
S_5125	2	LN3
S_5126	2	LN3
S_5128	2	LN3
S_5129	2	LN3
S_5130	2	LN3
S_5131	2	LN3
S_5132	2	LN3
S_5133	2	LN3
S_5134	2	LN3
S_5135	2	LN3
S_5136	2	LN3
S_5137	2	LN3
S_5138	2	LN3
S_5139	2	LN3
S_5140	2	LN3
S_5141	2	LN3
S_5143	2	LN3
S_5145	2	LN3
S_5147	2	LN3
S_5148	2	LN3
S_5149	2	LN3
S_5150	2	LN3
S_5152	2	LN3
S_5153	2	LN3
S_5154	2	LN3
S_5157	2	LN3
S_5158	2	LN3
S_5159	2	LN3
S_5160	2	LN3
S_5161	2	LN3
S_5162	2	LN3
S_5163	2	LN3
S_5167	2	LN3
S_5168	2	LN3
S_5169	2	LN3
S_5170	2	LN3
S_5171	2	LN3
S_5173	2	LN3
S_5175	2	LN3
S_5176	2	LN3
S_5177	2	LN3
S_5178	2	LN3
S_5179	2	LN3
S_5180	2	LN3
S_5181	2	LN3
S_5182	2	LN3
S_5183	2	LN3
S_5184	2	LN3
S_5185	2	LN3
S_5187	2	LN3
S_5188	2	LN3
S_5189	2	LN3
S_5190	2	LN3
S_5191	2	LN3
S_5192	2	LN3
S_5193	2	LN3
S_5194	2	LN3
S_5195	2	LN3
S_5196	2	LN3
S_5197	2	LN3
S_5199	2	LN3
S_5201	2	LN3
S_5202	2	LN3
S_5203	2	LN3
S_5204	2	LN3
S_5205	2	LN3
S_5206	2	LN3
S_5207	2	LN3
S_5208	2	LN3
S_5209	2	LN3
S_5210	2	LN3
S_5211	2	LN3
S_5212	2	LN3
S_5213	2	LN3
S_5214	2	LN3
S_5215	2	LN3
S_5216	2	LN3
S_5217	2	LN3
S_5218	2	LN3
S_5220	2	LN3
S_5221	2	LN3
S_5222	2	LN3
S_5223	2	LN3
S_5224	2	LN3
S_5226	2	LN3
S_5227	2	LN3
S_5228	2	LN3
S_5230	2	LN3
S_5231	2	LN3
S_5233	2	LN3
S_5234	2	LN3
S_5235	2	LN3
S_5236	2	LN3
S_5237	2	LN3
S_5238	2	LN3
S_5239	2	LN3
S_5240	2	LN3
S_5241	2	LN3
S_5242	2	LN3
S_5243	2	LN3
S_5244	2	LN3
S_5245	2	LN3
S_5247	2	LN3
S_5248	2	LN3
S_5249	2	LN3
S_5250	2	LN3
S_5251	2	LN3
S_5252	2	LN3
S_5253	2	LN3
S_5254	2	LN3
S_5255	2	LN3
S_5256	2	LN3
S_5262	2	LN3
S_5263	2	LN3
S_5264	2	LN3
S_5265	2	LN3
S_5268	2	LN3
S_5270	2	LN3
S_5271	2	LN3
S_5272	2	LN3
S_5274	2	LN3
S_5275	2	LN3
S_5276	2	LN3
S_5279	2	LN3
S_5280	2	LN3
S_5281	2	LN3
S_5282	2	LN3
S_5283	2	LN3
S_5285	2	LN3
S_5286	2	LN3
S_5287	2	LN3
S_5288	2	LN3
S_5289	2	LN3
S_5290	2	LN3
S_5291	2	LN3
