statistic	p.value	sumsq	meansq	gene	method	p_adjust
5.9582518429436	0.00268220873773289	11.7933991739112	5.89669958695559	GRPEL2	anova	0.0137229499497466
5.9582799069365	0.00268213439973118	11.793454032478	5.89672701623901	TCAIM	anova	0.0137229499497466
5.95702023252793	0.00268547315382418	11.7909916562108	5.8954958281054	SNX4	anova	0.013734912194464
5.95527746234299	0.00269009921651019	11.7875849165336	5.89379245826682	TTBK1	anova	0.0137490868952763
5.95558955456032	0.00268927020275129	11.7881949912975	5.89409749564874	USP4	anova	0.0137490868952763
5.95484276188317	0.00269125434259373	11.7867351670741	5.89336758353705	TRABD2A	anova	0.0137502509089033
5.9533533646986	0.0026952158762967	11.7838236920623	5.89191184603113	ZNF292	anova	0.0137657477774203
5.94768914282939	0.00271033515155111	11.772751100811	5.88637555040548	LOC729737	anova	0.0138382022355538
5.94348554711234	0.00272161055473984	11.7645336165365	5.88226680826827	AGAP2	anova	0.0138909878468598
5.94163589562573	0.00272658679909212	11.7609177422398	5.88045887111989	LOC101929216	anova	0.0139115975465034
5.94043995388184	0.00272980917583234	11.7585797869628	5.8792898934814	RPL14	anova	0.0139232475576423
5.93870358181473	0.0027344944962589	11.7551853197483	5.87759265987416	DPEP2	anova	0.0139423486575071
5.93783261588901	0.00273684769160682	11.7534826424263	5.87674132121316	VNN2	anova	0.0139495499221225
5.93506875891675	0.0027443285886099	11.7480794548964	5.87403972744819	ZNF354A	anova	0.0139828728465014
5.93395983027507	0.00274733586894192	11.7459115432359	5.87295577161793	MAP3K7	anova	0.0139885813629127
5.93422523627289	0.00274661581951145	11.7464304023825	5.87321520119125	BNIP1	anova	0.0139885813629127
5.93310404817691	0.00274965890391061	11.7442385162126	5.8721192581063	BRE	anova	0.0139922677510881
5.9329978662912	0.00274994727366768	11.7440309335574	5.87201546677868	SSH2	anova	0.0139922677510881
5.93221724328236	0.0027520682275448	11.7425048343056	5.87125241715279	SGMS1	anova	0.0139982557838102
5.92653077275847	0.00276756792122577	11.731387771072	5.865693885536	TUBGCP2	anova	0.0140674424298987
5.92671275870583	0.0027670705271443	11.7317435581072	5.86587177905362	CD69	anova	0.0140674424298987
5.92475051959148	0.00277243833998395	11.7279073177997	5.86395365889985	NOD2	anova	0.0140873691798979
5.92337900587686	0.00277619638555911	11.7252259459402	5.86261297297012	CISH	anova	0.0141016320002347
5.92179294126552	0.00278054868147727	11.7221250981839	5.86106254909197	LOC101928042	anova	0.0141189025000902
5.92004360462284	0.00278535693976911	11.7187050204242	5.85935251021211	PTPN11	anova	0.0141384756405192
5.91863969857731	0.00278922176730818	11.7159602660565	5.85798013302827	LINC00657	anova	0.0141509252635833
5.9184594413497	0.00278971838844365	11.7156078468562	5.8578039234281	POP7	anova	0.0141509252635833
5.91693034387796	0.00279393472335458	11.7126183122074	5.85630915610369	DCAF6	anova	0.0141674658492402
5.91417075510504	0.00280156018478861	11.7072229988742	5.85361149943708	NSMCE2	anova	0.0141964227135546
5.9143080622049	0.0028011802769901	11.707491451508	5.85374572575401	ATXN7L1	anova	0.0141964227135546
5.91361696488253	0.00280309296200533	11.7061402678422	5.8530701339211	SMARCAL1	anova	0.0141993369824575
5.9113976425618	0.00280924402570646	11.7018011825099	5.85090059125495	PSMF1	anova	0.0142207788218333
5.9115001423936	0.00280895963993322	11.7020015848914	5.85100079244572	RPL32	anova	0.0142207788218333
5.90994887146947	0.00281326672833896	11.6989686108793	5.84948430543963	NELFE	anova	0.0142332332975897
5.90982020999478	0.00281362425273052	11.6987170569637	5.84935852848184	SUCLG2	anova	0.0142332332975897
5.90910018593084	0.00281562589551724	11.6973092914042	5.84865464570208	UAP1	anova	0.0142385010753186
5.90726208407908	0.00282074223079074	11.6937154805795	5.84685774028975	SLC35G1	anova	0.0142595107589275
5.90622394654898	0.0028236359904298	11.6916857278485	5.84584286392425	ERC1	anova	0.0142692743115551
5.90508373809546	0.00282681769615787	11.6894563972825	5.84472819864127	ZNF17	anova	0.0142804858538101
5.90411192505102	0.00282953233715263	11.6875563043195	5.84377815215974	ARRDC1	anova	0.0142893310500552
5.89886139946973	0.00284424428883672	11.6772903214528	5.8386451607264	PPP4R1	anova	0.0143564328799803
5.89867920365027	0.00284475617463965	11.6769340827665	5.83846704138327	SIRT7	anova	0.0143564328799803
5.8973080477339	0.00284861145010723	11.6742531191485	5.83712655957423	RDH11	anova	0.0143661095138571
5.89736894845899	0.00284844010464102	11.6743721961054	5.83718609805272	OSBPL9	anova	0.0143661095138571
5.88838546057139	0.00287382727668643	11.6568067847152	5.82840339235761	SF3B3	anova	0.0144883498916796
5.88617161797312	0.00288011830189539	11.6524779578896	5.82623897894481	RPUSD4	anova	0.0145151305445965
5.8824773400501	0.00289064699037292	11.6452542798049	5.82262713990244	CRBN	anova	0.0145632425845258
5.88197561371142	0.00289207988169565	11.6442732108861	5.82213660544306	SLAIN2	anova	0.014565512366135
5.88154163766685	0.00289331985754454	11.6434246183245	5.82171230916223	MGA	anova	0.0145668093473049
5.87638642025064	0.00290809039366309	11.6333440386233	5.81667201931165	IMPDH2	anova	0.0146362037565657
5.87418965379434	0.00291440742472996	11.6290483868921	5.81452419344606	MPV17	anova	0.0146585984260406
5.87415148299222	0.0029145173103101	11.6289737457142	5.81448687285711	BICD1	anova	0.0146585984260406
5.87350391408844	0.00291638215559308	11.6277074538855	5.81385372694277	PSMB1	anova	0.0146630038050114
5.87295647292512	0.00291795958933415	11.6266369546783	5.81331847733917	FAM210A	anova	0.0146659616376466
5.87232614668985	0.00291977691271245	11.6254043740168	5.81270218700841	MCM3AP	anova	0.0146701227667867
5.87159385611654	0.00292188963863054	11.6239724016321	5.81198620081606	TAF1B	anova	0.0146757647940295
5.87024694289872	0.00292577960873905	11.6213385415774	5.81066927078871	CRACR2B	anova	0.0146903265353112
5.86735888354352	0.00293413800891216	11.6156909532975	5.80784547664875	CDK8	anova	0.0147202931160746
5.86715593258334	0.00293472627309074	11.6152940809669	5.80764704048347	FEM1B	anova	0.0147202931160746
5.86757400072674	0.00293351460929062	11.6161116164143	5.80805580820716	KIAA1033	anova	0.0147202931160746
5.86660377198284	0.00293632733829609	11.6142143245124	5.80710716225622	C1orf52	anova	0.0147233430655787
5.86544488455667	0.0029396905379979	11.611948098637	5.80597404931852	SECTM1	anova	0.0147252687765958
5.86583174664687	0.00293856739901588	11.6127046158532	5.80635230792661	LRRC61	anova	0.0147252687765958
5.86544479230448	0.002939690805876	11.6119479182357	5.80597395911786	RNF166	anova	0.0147252687765958
5.8646957593546	0.00294186662331045	11.6104831645729	5.80524158228644	PPP2R3C	anova	0.0147311909570497
5.86371815340989	0.0029447088355442	11.6085714235193	5.80428571175965	GTF3A	anova	0.0147404449374119
5.86332166332876	0.00294586234282592	11.6077960717121	5.80389803585607	COX10	anova	0.0147412423074856
5.86085452277206	0.0029530501685596	11.6029714534033	5.80148572670167	XRN1	anova	0.0147722249828722
5.85778300206591	0.0029620233753401	11.596964869774	5.79848243488702	SNAPC1	anova	0.0148121148688592
5.8547211902385	0.00297099541278164	11.5909771960366	5.79548859801832	MON2	anova	0.0148519720112317
5.85162503111624	0.00298009579252763	11.5849222750886	5.79246113754429	STARD3	anova	0.0148924436521089
5.85014081119393	0.00298446818288484	11.5820196723064	5.79100983615319	TMEM170A	anova	0.0149092687828954
5.84863527187502	0.00298890994637781	11.5790753580725	5.78953767903623	NUB1	anova	0.0149214032912269
5.848843656502	0.00298829475846662	11.579482887437	5.78974144371851	PPIP5K1	anova	0.0149214032912269
5.84782777511387	0.00299129501721708	11.5774961660591	5.78874808302956	IFT52	anova	0.0149254623740079
5.84767844255466	0.00299173630373989	11.5772041212282	5.7886020606141	GUCD1	anova	0.0149254623740079
5.84480939798081	0.0030002271779917	11.5715931887397	5.78579659436984	PLEC	anova	0.0149591663944828
5.84471399400654	0.00300050993843609	11.5714066079627	5.78570330398134	LARS	anova	0.0149591663944828
5.84411822079305	0.00300227630868006	11.5702414574534	5.7851207287267	TSPYL4	anova	0.0149613559019789
5.84388527675132	0.00300296723304034	11.5697858892415	5.78489294462073	GVINP1	anova	0.0149613559019789
5.84299966262196	0.00300559546618796	11.5680538913638	5.78402694568188	C19orf38	anova	0.0149694202140305
5.84006973887586	0.00301430702714584	11.5623237862383	5.78116189311917	URB2	anova	0.0150027292015748
5.84036100060553	0.00301343988532269	11.5628934152295	5.78144670761476	DDX46	anova	0.0150027292015748
5.83927059618216	0.00301668751210626	11.5607608762008	5.78038043810038	RPUSD1	anova	0.0150095388395971
5.83811758068157	0.00302012543314366	11.5585058761301	5.77925293806503	CERK	anova	0.015016565995044
5.83826644116031	0.00301968135848497	11.5587970093303	5.77939850466513	SUPT16H	anova	0.015016565995044
5.83473348322837	0.00303023841158972	11.551887394289	5.77594369714452	POLR3A	anova	0.015056750981448
5.83484153165625	0.00302991499768683	11.5520987125061	5.77604935625307	KCNC3	anova	0.015056750981448
5.83139154145633	0.00304025871608267	11.5453512672167	5.77267563360836	ATAD2	anova	0.0151014793914096
5.83079512903109	0.00304205045662704	11.544184801832	5.77209240091601	PRKAA1	anova	0.01510531886149
5.82994742773333	0.00304459893951196	11.5425268598534	5.77126342992671	TACC1	anova	0.0151129121111964
5.82495660938916	0.00305964650094966	11.5327656527556	5.76638282637779	RPSAP9	anova	0.0151825229817874
5.82361939467838	0.0030636909129652	11.5301502496353	5.76507512481765	TDRKH	anova	0.01519735929237
5.82329054702512	0.00306468633467231	11.5295070678352	5.7647535339176	SPG7	anova	0.01519735929237
5.82255958741903	0.00306690011012008	11.5280774059568	5.76403870297839	ERI1	anova	0.0152032524014545
5.82096915193404	0.00307172242205239	11.524966706043	5.76248335302151	HIVEP3	anova	0.0152220682993886
5.8205125259866	0.00307310834739051	11.524073596974	5.76203679848701	PTPLA	anova	0.015223848134567
