pathway	pval	padj	log2err	ES	NES	size	leadingEdge	seurat_clusters
Citrate cycle (TCA cycle)	0.708759843661863	0.884570849616442	0.0934449219410994	0.366976144495259	1.22845972605864	26	MDH1,MDH2,IDH2,SDHA,SDHC,SDHD,SUCLG1,IDH3G,SDHB,PDHB,IDH3B,DLST,ACO2,SUCLG2,SUCLA2,OGDH,CS,PDHA1,DLD,ACLY	c6
Fatty acid elongation	0.146753369813497	0.884570849616442	0.0303467275556782	0.263669168992279	0.848770784701221	22	TECR,HADHA,ELOVL5,ABHD17A,ELOVL1,ECHS1,ACAA2,HADHB,HACD4,THEM4,PPT1,ACOT7,HACD2,HADH,ACOT2,ELOVL6	c6
Oxidative phosphorylation	15.2380748274499	1.15599290403888e-14	1.02766987054358	0.694070710152694	1.80214771891077	108	NDUFA3,ATP5MC3,ATP5MF,COX5A,COX7B,NDUFA4,NDUFB10,NDUFB5,CYC1,SDHD,COX17,UQCR11,SDHC,UQCRC1,COX6A1,ATP5PD,NDUFB7,UQCRB,UQCRFS1,COX6B1,COX8A,COX6C,NDUFS2,NDUFS6,ATP5ME,ATP6V0E1,ATP5PB,ATP6V0C,ATP6V1G1,NDUFS5,ATP5F1C,NDUFV1,NDUFB4,NDUFAB1,NDUFA2,COX5B,NDUFB3,ATP5PF,NDUFS8,UQCRC2,NDUFB2,NDUFB6,ATP5F1B,NDUFA10,ATP6V1F,PPA1,ATP6V0D1,NDUFV2,NDUFB9,UQCRH,NDUFS7,NDUFA11,NDUFB11,ATP6AP1,SDHA,ATP6V0B,ATP5F1D,NDUFC1,NDUFA6,UQCRQ,NDUFA12,ATP6V0E2,NDUFB1,COX7A2L,SDHB,UQCR10,NDUFS3,NDUFA13,TCIRG1,COX7A2,NDUFA1,NDUFC2,NDUFA5,ATP5F1A,COX7C,ATP5MC1,NDUFA9,ATP6V1E1,NDUFA8,ATP6V1D,NDUFS4,COX4I1,ATP5MG,ATP5MC2,ATP5F1E,ATP6V1H	c1
Citrate cycle (TCA cycle)	0.833116742731143	0.979020979020979	0.110122263835536	0.475655221221843	1.15114825383022	28	MDH1,SDHD,SDHC,IDH3G,MDH2,SUCLG1,SDHA,PDHB,SDHB,IDH2,IDH3B,ACO2,SUCLG2,DLST,CS,DLD,OGDH,ACLY,PDHA1,SUCLA2	c1
Fatty acid elongation	0.363946181125953	1	0.0522693317499306	0.426160506745838	1.02869847621247	27	HADHA,ACAA2,TECR,ABHD17A,HACD4,ELOVL1,ELOVL5,HADHB,ECHS1,ACOT7,PPT1	c1
Fatty acid biosynthesis	0.152488977901143	1	0.143902565267782	-0.322966507177034	-0.997888067581837	11	ACSBG1,ACACB,ACACA,ACSL1,OXSM,MCAT,FASN,ACSL3,ACSL6,ACSL4,ACSL5	c1
Oxidative phosphorylation	21.4465602611972	6.79506068646403e-21	1.22105375677186	0.730535613306483	2.26809222486461	104	UQCRH,COX6C,COX8A,ATP5MC3,ATP5F1B,NDUFB2,ATP5F1A,UQCR11,ATP5F1E,COX7B,ATP5PB,ATP6V0E1,ATP5MG,COX7A2,NDUFB9,ATP5MF,ATP5PD,COX6B1,NDUFB4,ATP5F1D,UQCRB,UQCRC2,COX7A2L,NDUFV2,NDUFS5,ATP5ME,ATP5MC2,ATP5PF,NDUFV1,UQCRQ,UQCR10,COX17,COX4I1,NDUFC1,ATP6V0B,ATP6V1G1,PPA1,ATP6V0C,NDUFA4,NDUFS7,COX6A1,NDUFA3,COX5A,COX7C,ATP6V0E2,NDUFA12,ATP5F1C,SDHD,COX5B,UQCRFS1,NDUFB7,ATP6V1F,NDUFAB1,NDUFA1,NDUFB6,NDUFB11,NDUFA13,NDUFB3,NDUFB1,NDUFA2,NDUFA5,SDHC,NDUFS8,NDUFS6,NDUFB10,NDUFA6,NDUFB5,ATP5MC1,ATP6AP1,UQCRC1,NDUFS2,SDHA,NDUFA10,NDUFA11	c3
Fatty acid biosynthesis	2.45528958949377	0.0332992165551347	0.431707695803346	-0.565891472868217	-1.99460425453486	11	ACSBG1,ACSL1,ACACB,ACACA,OXSM,ACSL4,MCAT,FASN,ACSL6,ACSL5,ACSL3	c3
Citrate cycle (TCA cycle)	0.707309416869506	0.931931931931932	0.0925528864684773	0.42173638806552	1.18400158361136	27	MDH2,SDHD,MDH1,SDHC,IDH2,SDHA,SUCLG2,SUCLG1,IDH3G,ACO2,SDHB,CS,IDH3B,PDHB,SUCLA2,DLST,DLD,ACLY,OGDH,IDH3A	c3
Fatty acid elongation	0.125374556496257	1	0.0266052822097738	0.307324071911151	0.852676344929139	25	ELOVL5,HADHA,TECR,THEM4,PPT1,HADHB,ELOVL1,ECHS1,ACAA2,ABHD17A,HACD4,HSD17B12,HADH,HACD3,HACD2	c3
