Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Staphylococcus aureus infection	3/95	0.857280615608048	0.94608259172681	0	0	0.622362128723731	0.0958375283516349	HLA-DRB5;HLA-DRB4;ITGB2
Amphetamine addiction	2/69	0.86369301475017	0.948926750794761	0	0	0.569902503610977	0.0835123048663263	CALM3;CALM1
Circadian entrainment	3/97	0.866709270581497	0.948926750794761	0	0	0.609055971831591	0.0871264839346599	PER3;CALM3;CALM1
Glycerophospholipid metabolism	3/98	0.871214527255006	0.950104031691483	0	0	0.602612990599607	0.0830804647648261	AGPAT5;LPCAT4;LPIN2
Inositol phosphate metabolism	2/73	0.883853129634501	0.954665916573134	0	0	0.537681735574739	0.0663845384074523	INPP4B;PIK3CD
Fat digestion and absorption	1/43	0.888573202887754	0.954665916573134	0	0	0.45470675682156	0.0537182584620755	SLC27A1
Porphyrin and chlorophyll metabolism	1/43	0.888573202887754	0.954665916573134	0	0	0.45470675682156	0.0537182584620755	UROS
Cushing syndrome	5/155	0.889183416880392	0.954665916573134	0	0	0.635524098415908	0.0746434153324439	RAP1B;CDKN1A;RAP1A;CDK6;TCF7
Metabolism of xenobiotics by cytochrome P450	2/76	0.897122283538329	0.958203253481118	0	0	0.515802092414996	0.0559970747579651	GSTM1;GSTP1
ABC transporters	1/45	0.899396555614046	0.958203253481118	0	0	0.43399249290488	0.0460167597002749	ABCG1
MicroRNAs in cancer	11/310	0.907493886448614	0.963125695579563	0	0	0.700119421469326	0.0679595067499677	CDKN1A;ZEB2;HNRNPK;CDK6;PIK3CD;GRB2;VIM;EZR;RAF1;RHOA;MCL1
Neutrophil extracellular trap formation	6/189	0.912802988554224	0.965062701639389	0	0	0.624643260104865	0.0569894567546121	ITGB2;RAC2;PIK3CD;CYBA;RAC1;RAF1
Ether lipid metabolism	1/49	0.917993952038712	0.966860550246096	0	0	0.397742531050688	0.0340326314815537	LPCAT4
Serotonergic synapse	3/113	0.924286769218316	0.969800890429824	0	0	0.520025685716907	0.0409431298919063	APP;DUSP1;RAF1
Insulin secretion	2/86	0.93182117222554	0.974016847948961	0	0	0.454157066052227	0.0320700096511002	ATP1A1;VAMP2
Fanconi anemia pathway	1/54	0.936487057394754	0.975213965783259	0	0	0.360124646107659	0.0236312270819306	MUS81
