Gene	Rank
ATP5F1A	-0.22462400097096
NDUFB2	-0.226567360368529
UXS1	-0.22758688000991
UQCR10	-0.22940354087169
NDUFB7	-0.230575657101692
PIK3CB	-0.235389011436258
NDUFS4	-0.237139455303695
NDUFA4	-0.241408897951191
NDUFA11	-0.241703597205664
ATP5PB	-0.25129842030184
COX6B1	-0.251624783331115
NDUFV2	-0.252630261400758
NDUFA13	-0.252999557058445
ACAT2	-0.255635809433479
OGDH	-0.257665716535766
ATP5PF	-0.258004760002439
NDUFC2	-0.258424496194192
COX7B	-0.261112580854317
COX7A2L	-0.261523957326083
ATP5F1E	-0.263844298743654
ATP5MC3	-0.266678960903674
COX6A1	-0.26898430547277
TECR	-0.269012381774601
UQCRQ	-0.269928722486939
THEM4	-0.270031644346796
COX8A	-0.270689829027502
NDUFS5	-0.274613514434369
COX7A2	-0.276227394368206
TALDO1	-0.27778114390602
UQCRC2	-0.278481962983422
NDUFB3	-0.283008598438807
COX5B	-0.283291702622455
ATP5MF	-0.283567757131669
NDUFAB1	-0.284421951058386
TKT	-0.285703096568564
NDUFS6	-0.288203164011811
NDUFB1	-0.292893791241857
COX4I1	-0.296741558925916
NDUFC1	-0.304899697448141
NDUFB9	-0.306703307228722
UQCR11	-0.310312275384008
NDUFB11	-0.315135153656638
NDUFA2	-0.325407007596719
COX7C	-0.341649170649539
COX6C	-0.347390176628853
SQOR	-0.350992764050008
PPA1	-0.361024411483505
ATP5MG	-0.367370280920979
ATP5MC2	-0.367928478225132
UQCRB	-0.393692226880557
INPP4B	-0.406602851978444
LDHB	-0.744231902041428
