Sample	seurat_clusters	nCells	nCellsPerCluster	percCellsPerSample	nCellsPerSample	CellFraction
LT2	7	405	4318	0.0461643679471105	8773	0.0937934228809634
LT2	8	660	4118	0.0752308218397355	8773	0.160271976687712
LT2	9	121	4101	0.0137923173372849	8773	0.0295049987807852
LT2	10	244	3897	0.0278126068619628	8773	0.0626122658455222
LT2	11	279	3771	0.0318021201413428	8773	0.0739856801909308
LT2	12	399	2967	0.045480451384931	8773	0.134479271991911
LT2	13	140	2730	0.0159580531175197	8773	0.0512820512820513
LT2	14	785	2561	0.0894790835518067	8773	0.306520890277235
LT2	15	194	2365	0.0221133021771344	8773	0.0820295983086681
LT2	16	113	1451	0.0128804285877123	8773	0.0778773259820813
LT2	17	191	1300	0.0217713438960447	8773	0.146923076923077
LT2	18	196	1267	0.0223412743645275	8773	0.154696132596685
LT2	19	6	169	0.000683916562179414	8773	0.0355029585798817
LT3	0	920	10395	0.132545742688373	6941	0.0885040885040885
LT3	1	328	7749	0.047255438697594	6941	0.0423280423280423
LT3	2	692	7361	0.0996974499351678	6941	0.0940089661730743
LT3	3	657	6321	0.0946549488546319	6941	0.103939250118652
LT3	4	410	5469	0.0590692983719925	6941	0.0749680014627903
LT3	5	573	5085	0.0825529462613456	6941	0.112684365781711
LT3	6	200	4521	0.0288142918887768	6941	0.04423800044238
LT3	7	768	4318	0.110646880852903	6941	0.177860120426123
LT3	8	453	4118	0.0652643711280795	6941	0.110004856726566
LT3	9	67	4101	0.00965278778274024	6941	0.0163374786637406
LT3	10	144	3897	0.0207462901599193	6941	0.0369515011547344
LT3	11	292	3771	0.0420688661576142	6941	0.077433041633519
LT3	12	425	2967	0.0612303702636508	6941	0.143242332322211
LT3	13	35	2730	0.00504250108053595	6941	0.0128205128205128
LT3	14	355	2561	0.0511453681025789	6941	0.138617727450215
LT3	15	203	2365	0.0292465062671085	6941	0.0858350951374207
LT3	16	83	1451	0.0119579311338424	6941	0.0572019297036527
LT3	17	119	1300	0.0171445036738222	6941	0.0915384615384615
LT3	18	212	1267	0.0305431494021034	6941	0.167324388318863
LT3	19	5	169	0.000720357297219421	6941	0.029585798816568
LT4	0	1582	10395	0.172443863091345	9174	0.152188552188552
LT4	1	813	7749	0.0886200130804447	9174	0.104916763453349
LT4	2	804	7361	0.0876389797253107	9174	0.109224290177965
LT4	3	594	6321	0.0647482014388489	9174	0.0939724727100142
LT4	4	903	5469	0.0984303466317855	9174	0.165112452002194
LT4	5	605	5085	0.065947242206235	9174	0.11897738446411
LT4	6	532	4521	0.0579899716590364	9174	0.117673081176731
LT4	7	280	4318	0.0305210377152823	9174	0.0648448355720241
LT4	8	635	4118	0.0692173533900153	9174	0.154201068479845
LT4	9	27	4101	0.00294310006540222	9174	0.00658376005852231
LT4	10	206	3897	0.0224547634619577	9174	0.0528611752630228
LT4	11	684	3771	0.0745585349901897	9174	0.181384248210024
LT4	12	449	2967	0.0489426640505777	9174	0.151331311088642
LT4	13	128	2730	0.0139524743841291	9174	0.0468864468864469
LT4	14	319	2561	0.0347721822541966	9174	0.124560718469348
LT4	15	234	2365	0.0255068672334859	9174	0.0989429175475687
LT4	16	198	1451	0.0215827338129496	9174	0.136457615437629
LT4	17	81	1300	0.00882930019620667	9174	0.0623076923076923
LT4	18	96	1267	0.0104643557880968	9174	0.0757695343330703
LT4	19	4	169	0.000436014824504033	9174	0.0236686390532544
LT5	0	232	10395	0.083005366726297	2795	0.0223184223184223
LT5	1	130	7749	0.0465116279069767	2795	0.0167763582397729
LT5	2	368	7361	0.131663685152057	2795	0.0499932074446407
LT5	3	309	6321	0.110554561717352	2795	0.0488846701471286
LT5	4	56	5469	0.0200357781753131	2795	0.0102395319071128
LT5	5	83	5085	0.029695885509839	2795	0.016322517207473
LT5	6	74	4521	0.0264758497316637	2795	0.0163680601636806
LT5	7	151	4318	0.0540250447227191	2795	0.0349698934691987
LT5	8	215	4118	0.0769230769230769	2795	0.0522098105876639
LT5	9	72	4101	0.0257602862254025	2795	0.0175566934893928
