Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Allograft rejection	6/38	9.31869907307012e-07	1.6858373777645e-05	21.8294117647059	303.124796938836	GZMB;HLA-C;HLA-B;CD40LG;HLA-DRB1;TNF	11	KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer	8/89	1.18069965110563e-06	1.9579935880835e-05	11.6067019400353	158.42455658107	NFKBIA;CD4;LAT;CD3G;CD3E;STAT1;FOS;LCK	12	KEGG_2021_Human
Pathogenic Escherichia coli infection	11/197	1.42431472829511e-06	2.1802971610056e-05	7.03870967741936	94.7538409664283	CYFIP2;ACTB;FOS;TNF;ARPC5;ACTG1;ACTR3;NFKBIA;TMBIM6;MYO1B;GAPDH	13	KEGG_2021_Human
Shigellosis	12/246	1.94482351787549e-06	2.76442771469444e-05	6.12570356472795	80.555080458001	PFN1;MYL12B;ACTB;MYL12A;RIPK2;TNF;ARPC5;PXN;ACTG1;ACTR3;NFKBIA;CCL5	14	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	9/131	2.42934167895663e-06	3.2229266274158e-05	8.70315107489938	112.513381937003	TNF;HLA-C;HLA-B;LCP2;LAT;GZMB;LCK;CD48;ITGB2	15	KEGG_2021_Human
Human immunodeficiency virus 1 infection	11/212	2.90876624695192e-06	3.61777801964645e-05	6.50845771144279	82.9683970469819	CD4;HLA-C;HLA-B;CD3G;CD3E;FOS;CXCR4;TNF;PXN;TAPBP;NFKBIA	16	KEGG_2021_Human
Antigen processing and presentation	7/78	5.66234891166257e-06	6.62827902012265e-05	11.5235436286357	139.223671515425	HSP90AA1;TAPBP;CD4;TNF;HLA-C;HLA-B;HLA-DRB1	17	KEGG_2021_Human
Cytokine-cytokine receptor interaction	12/295	1.24144154683963e-05	0.000137248259900604	5.0524002413169	57.0752084165638	CD4;IL16;CD27;IL32;CD40LG;CXCR4;CXCR3;TNF;IL7R;TNFRSF4;TNFRSF18;CCL5	18	KEGG_2021_Human
Rap1 signaling pathway	10/210	1.75371088070895e-05	0.000183678139611096	5.91084337349398	64.7307772300701	PFN1;SKAP1;ACTB;FYB1;APBB1IP;ACTG1;LCP2;LAT;EVL;ITGB2	19	KEGG_2021_Human
Primary immunodeficiency	5/38	1.97771355483302e-05	0.000196782498705886	17.5358851674641	189.93089268841	LCK;CD4;CD40LG;IL7R;CD3E	20	KEGG_2021_Human
Influenza A	9/172	2.2169164433697e-05	0.0002100792248717	6.5004592042908	69.6641746609651	TNF;ACTB;CCND3;HLA-DRB1;ACTG1;NFKBIA;DNAJB1;STAT1;CCL5	21	KEGG_2021_Human
Fluid shear stress and atherosclerosis	8/139	3.24220423014995e-05	0.00028186597078046	7.15848782260996	73.9949409857135	TNF;ACTB;ACTG1;HSP90AA1;DUSP1;FOS;KLF2;GSTP1	22	KEGG_2021_Human
Graft-versus-host disease	5/42	3.25774740098019e-05	0.00028186597078046	15.6369527422159	161.559267688606	GZMB;HLA-C;HLA-B;HLA-DRB1;TNF	23	KEGG_2021_Human
Type I diabetes mellitus	5/43	3.66028994618364e-05	0.00030349904137106	15.2246845183133	155.525984937695	GZMB;HLA-C;HLA-B;HLA-DRB1;TNF	24	KEGG_2021_Human
Cell adhesion molecules	8/148	5.07289001871742e-05	0.000403802045489907	6.6952380952381	66.2093085219641	CD2;CD4;HLA-C;HLA-B;SELL;HLA-DRB1;CD40LG;ITGB2	25	KEGG_2021_Human
Leishmaniasis	6/77	6.0270139431417e-05	0.000436937631317614	9.81922120961061	95.4101692382365	NFKBIA;TNF;STAT1;FOS;HLA-DRB1;ITGB2	26	KEGG_2021_Human
Toxoplasmosis	7/112	6.04353675237822e-05	0.000436937631317614	7.77869822485207	75.5617772590917	TNF;ALOX5;LDLR;HLA-DRB1;NFKBIA;STAT1;CD40LG	27	KEGG_2021_Human
MAPK signaling pathway	11/294	6.14786616929306e-05	0.000436937631317614	4.60329799764429	44.6373539662837	DUSP5;DUSP4;DUSP1;DUSP2;AREG;FOS;CDC25B;TNF;RASA1;HSPB1;DUSP10	28	KEGG_2021_Human
