p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
1.37199750258687e-08	1.29600956223554	0.186	0.086	0.000460140522417583	SH3BP5	Colitis
1.51888743692173e-08	-0.463337387298478	0.845	0.882	0.00050940446859481	KLRB1	Colitis
1.68190359001073e-08	-0.351748150407201	0.592	0.74	0.000564076826017798	CD40LG	Colitis
1.93966488504394e-08	1.81242591160503	0.048	0.008	0.000650524809146038	GZMB	Colitis
2.07454489831095e-08	-0.350774613801724	0.828	0.902	0.000695760867995528	LCK	Colitis
2.39153038726593e-08	5.1494608988826	0.02	0	0.000802071461281247	IGHV3-21	Colitis
2.39905353870851e-08	-0.299692223582212	0.899	0.948	0.00080459457581206	MYL12B	Colitis
2.55807730739486e-08	-0.387366905326524	0.789	0.872	0.000857927967354087	EMP3	Colitis
2.59660165291713e-08	0.55803180266021	0.592	0.457	0.000870848262355348	PIK3IP1	Colitis
3.08438042113906e-08	-0.23139726052154	0.994	0.996	0.00103443950564162	MYL12A	Colitis
3.15037031349573e-08	-0.398206307092642	0.746	0.826	0.0010565711957402	MBNL1	Colitis
3.22566621151882e-08	-0.803307141868875	0.307	0.46	0.00108182393401918	CXCR3	Colitis
3.24695592867337e-08	0.854589102425492	0.338	0.207	0.00108896407935848	LINC00861	Colitis
3.52624574425316e-08	0.281512516479688	0.997	0.997	0.00118263229770763	TMSB10	Colitis
3.93764156696278e-08	1.11274912052608	0.22	0.112	0.00132060622872798	PXN	Colitis
4.81608687812954e-08	-0.264233260720236	0.989	0.992	0.00161521921718709	SH3BGRL3	Colitis
5.09642662064801e-08	-0.290759027183016	0.918	0.957	0.00170923956003293	PCBP2	Colitis
5.2349171181759e-08	3.8864264930488	0.025	0.001	0.00175568650309383	HIST1H2BG	Colitis
5.23585852003382e-08	-0.338645330039846	0.834	0.888	0.00175600223044894	TMBIM6	Colitis
5.65688851281293e-08	0.359788254385546	0.935	0.899	0.0018972072694272	NOP53	Colitis
6.14053958412628e-08	0.843753156453565	0.327	0.199	0.00205941416572427	SKIL	Colitis
7.31606778516142e-08	-0.561129279859312	0.403	0.55	0.00245366281378744	HSPB1	Colitis
7.55448374399399e-08	-0.576289907787683	0.454	0.585	0.0025336227580607	CD4	Colitis
7.58900234676896e-08	2.40099966587856	0.054	0.011	0.00254519960705937	ALOX5	Colitis
7.63624143345456e-08	-0.474665511042612	0.583	0.707	0.00256104265195199	ARPC5	Colitis
7.64047999768219e-08	-1.93800194236774	0.028	0.127	0.00256246418162265	TMEM200A	Colitis
8.01493530527868e-08	1.75518195977055	0.09	0.029	0.00268804900268436	KATNAL1	Colitis
8.13191980159818e-08	0.784796922118872	0.321	0.193	0.00272728326306	TNFRSF18	Colitis
8.35094503689493e-08	0.503702313563074	0.758	0.59	0.00280073994647382	DDIT4	Colitis
8.81766068623261e-08	2.09287737051623	0.065	0.016	0.00295726704094869	HLA-G	Colitis
9.40190613527603e-08	-0.398383523455729	0.718	0.811	0.00315321127964887	LCP2	Colitis
1.01179848830512e-07	0.829028599920716	0.394	0.262	0.00339336977007771	PBX4	Colitis
1.01370484359175e-07	-0.432483410275645	0.606	0.72	0.00339976330443802	FKBP8	Colitis
1.03988445437158e-07	-0.432989508149887	0.73	0.809	0.0034875644830714	ACTR3	Colitis
1.08638298739969e-07	-0.396541080283173	0.845	0.899	0.00364351126314107	RPL36A	Colitis
1.13452147460388e-07	-0.548510563667746	0.521	0.646	0.0038049581215265	ZYX	Colitis
1.1668361741637e-07	0.896076663082522	0.276	0.159	0.0039133351609102	IL6ST	Colitis
1.23362190244663e-07	-0.491927035301378	0.445	0.608	0.00413732113642551	RAP1A	Colitis
